Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.4
Horizontal Delay,0
Sample Interval,4e-05
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Vertical Position,-0.08
,
,
,
Label,
TIME,CH1
-1.96960e+00,nan
-1.96956e+00,nan
-1.96952e+00,nan
-1.96948e+00,nan
-1.96944e+00,nan
-1.96940e+00,nan
-1.96936e+00,nan
-1.96932e+00,nan
-1.96928e+00,nan
-1.96924e+00,nan
-1.96920e+00,nan
-1.96916e+00,nan
-1.96912e+00,nan
-1.96908e+00,nan
-1.96904e+00,nan
-1.96900e+00,nan
-1.96896e+00,nan
-1.96892e+00,nan
-1.96888e+00,nan
-1.96884e+00,nan
-1.96880e+00,nan
-1.96876e+00,nan
-1.96872e+00,nan
-1.96868e+00,nan
-1.96864e+00,nan
-1.96860e+00,nan
-1.96856e+00,nan
-1.96852e+00,nan
-1.96848e+00,nan
-1.96844e+00,nan
-1.96840e+00,nan
-1.96836e+00,nan
-1.96832e+00,nan
-1.96828e+00,nan
-1.96824e+00,nan
-1.96820e+00,nan
-1.96816e+00,nan
-1.96812e+00,nan
-1.96808e+00,nan
-1.96804e+00,nan
-1.96800e+00,nan
-1.96796e+00,nan
-1.96792e+00,nan
-1.96788e+00,nan
-1.96784e+00,nan
-1.96780e+00,nan
-1.96776e+00,nan
-1.96772e+00,nan
-1.96768e+00,nan
-1.96764e+00,nan
-1.96760e+00,nan
-1.96756e+00,nan
-1.96752e+00,nan
-1.96748e+00,nan
-1.96744e+00,nan
-1.96740e+00,nan
-1.96736e+00,nan
-1.96732e+00,nan
-1.96728e+00,nan
-1.96724e+00,nan
-1.96720e+00,nan
-1.96716e+00,nan
-1.96712e+00,nan
-1.96708e+00,nan
-1.96704e+00,nan
-1.96700e+00,nan
-1.96696e+00,nan
-1.96692e+00,nan
-1.96688e+00,nan
-1.96684e+00,nan
-1.96680e+00,nan
-1.96676e+00,nan
-1.96672e+00,nan
-1.96668e+00,nan
-1.96664e+00,nan
-1.96660e+00,nan
-1.96656e+00,nan
-1.96652e+00,nan
-1.96648e+00,nan
-1.96644e+00,nan
-1.96640e+00,nan
-1.96636e+00,nan
-1.96632e+00,nan
-1.96628e+00,nan
-1.96624e+00,nan
-1.96620e+00,nan
-1.96616e+00,nan
-1.96612e+00,nan
-1.96608e+00,nan
-1.96604e+00,nan
-1.96600e+00,nan
-1.96596e+00,nan
-1.96592e+00,nan
-1.96588e+00,nan
-1.96584e+00,nan
-1.96580e+00,nan
-1.96576e+00,nan
-1.96572e+00,nan
-1.96568e+00,nan
-1.96564e+00,nan
-1.96560e+00,nan
-1.96556e+00,nan
-1.96552e+00,nan
-1.96548e+00,nan
-1.96544e+00,nan
-1.96540e+00,nan
-1.96536e+00,nan
-1.96532e+00,nan
-1.96528e+00,nan
-1.96524e+00,nan
-1.96520e+00,nan
-1.96516e+00,nan
-1.96512e+00,nan
-1.96508e+00,nan
-1.96504e+00,nan
-1.96500e+00,nan
-1.96496e+00,nan
-1.96492e+00,nan
-1.96488e+00,nan
-1.96484e+00,nan
-1.96480e+00,nan
-1.96476e+00,nan
-1.96472e+00,nan
-1.96468e+00,nan
-1.96464e+00,nan
-1.96460e+00,nan
-1.96456e+00,nan
-1.96452e+00,nan
-1.96448e+00,nan
-1.96444e+00,nan
-1.96440e+00,nan
-1.96436e+00,nan
-1.96432e+00,nan
-1.96428e+00,nan
-1.96424e+00,nan
-1.96420e+00,nan
-1.96416e+00,nan
-1.96412e+00,nan
-1.96408e+00,nan
-1.96404e+00,nan
-1.96400e+00,nan
-1.96396e+00,nan
-1.96392e+00,nan
-1.96388e+00,nan
-1.96384e+00,nan
-1.96380e+00,nan
-1.96376e+00,nan
-1.96372e+00,nan
-1.96368e+00,nan
-1.96364e+00,nan
-1.96360e+00,nan
-1.96356e+00,nan
-1.96352e+00,nan
-1.96348e+00,nan
-1.96344e+00,nan
-1.96340e+00,nan
-1.96336e+00,nan
-1.96332e+00,nan
-1.96328e+00,nan
-1.96324e+00,nan
-1.96320e+00,nan
-1.96316e+00,nan
-1.96312e+00,nan
-1.96308e+00,nan
-1.96304e+00,nan
-1.96300e+00,nan
-1.96296e+00,nan
-1.96292e+00,nan
-1.96288e+00,nan
-1.96284e+00,nan
-1.96280e+00,nan
-1.96276e+00,nan
-1.96272e+00,nan
-1.96268e+00,nan
-1.96264e+00,nan
-1.96260e+00,nan
-1.96256e+00,nan
-1.96252e+00,nan
-1.96248e+00,nan
-1.96244e+00,nan
-1.96240e+00,nan
-1.96236e+00,nan
-1.96232e+00,nan
-1.96228e+00,nan
-1.96224e+00,nan
-1.96220e+00,nan
-1.96216e+00,nan
-1.96212e+00,nan
-1.96208e+00,nan
-1.96204e+00,nan
-1.96200e+00,nan
-1.96196e+00,nan
-1.96192e+00,nan
-1.96188e+00,nan
-1.96184e+00,nan
-1.96180e+00,nan
-1.96176e+00,nan
-1.96172e+00,nan
-1.96168e+00,nan
-1.96164e+00,nan
-1.96160e+00,nan
-1.96156e+00,nan
-1.96152e+00,nan
-1.96148e+00,nan
-1.96144e+00,nan
-1.96140e+00,nan
-1.96136e+00,nan
-1.96132e+00,nan
-1.96128e+00,nan
-1.96124e+00,nan
-1.96120e+00,nan
-1.96116e+00,nan
-1.96112e+00,nan
-1.96108e+00,nan
-1.96104e+00,nan
-1.96100e+00,nan
-1.96096e+00,nan
-1.96092e+00,nan
-1.96088e+00,nan
-1.96084e+00,nan
-1.96080e+00,nan
-1.96076e+00,nan
-1.96072e+00,nan
-1.96068e+00,nan
-1.96064e+00,nan
-1.96060e+00,nan
-1.96056e+00,nan
-1.96052e+00,nan
-1.96048e+00,nan
-1.96044e+00,nan
-1.96040e+00,nan
-1.96036e+00,nan
-1.96032e+00,nan
-1.96028e+00,nan
-1.96024e+00,nan
-1.96020e+00,nan
-1.96016e+00,nan
-1.96012e+00,nan
-1.96008e+00,nan
-1.96004e+00,nan
-1.96000e+00,nan
-1.95996e+00,nan
-1.95992e+00,nan
-1.95988e+00,nan
-1.95984e+00,nan
-1.95980e+00,nan
-1.95976e+00,nan
-1.95972e+00,nan
-1.95968e+00,nan
-1.95964e+00,nan
-1.95960e+00,nan
-1.95956e+00,nan
-1.95952e+00,nan
-1.95948e+00,nan
-1.95944e+00,nan
-1.95940e+00,nan
-1.95936e+00,nan
-1.95932e+00,nan
-1.95928e+00,nan
-1.95924e+00,nan
-1.95920e+00,nan
-1.95916e+00,nan
-1.95912e+00,nan
-1.95908e+00,nan
-1.95904e+00,nan
-1.95900e+00,nan
-1.95896e+00,nan
-1.95892e+00,nan
-1.95888e+00,nan
-1.95884e+00,nan
-1.95880e+00,nan
-1.95876e+00,nan
-1.95872e+00,nan
-1.95868e+00,nan
-1.95864e+00,nan
-1.95860e+00,nan
-1.95856e+00,nan
-1.95852e+00,nan
-1.95848e+00,nan
-1.95844e+00,nan
-1.95840e+00,nan
-1.95836e+00,nan
-1.95832e+00,nan
-1.95828e+00,nan
-1.95824e+00,nan
-1.95820e+00,nan
-1.95816e+00,nan
-1.95812e+00,nan
-1.95808e+00,nan
-1.95804e+00,nan
-1.95800e+00,nan
-1.95796e+00,nan
-1.95792e+00,nan
-1.95788e+00,nan
-1.95784e+00,nan
-1.95780e+00,nan
-1.95776e+00,nan
-1.95772e+00,nan
-1.95768e+00,nan
-1.95764e+00,nan
-1.95760e+00,nan
-1.95756e+00,nan
-1.95752e+00,nan
-1.95748e+00,nan
-1.95744e+00,nan
-1.95740e+00,nan
-1.95736e+00,nan
-1.95732e+00,nan
-1.95728e+00,nan
-1.95724e+00,nan
-1.95720e+00,nan
-1.95716e+00,nan
-1.95712e+00,nan
-1.95708e+00,nan
-1.95704e+00,nan
-1.95700e+00,nan
-1.95696e+00,nan
-1.95692e+00,nan
-1.95688e+00,nan
-1.95684e+00,nan
-1.95680e+00,nan
-1.95676e+00,nan
-1.95672e+00,nan
-1.95668e+00,nan
-1.95664e+00,nan
-1.95660e+00,nan
-1.95656e+00,nan
-1.95652e+00,nan
-1.95648e+00,nan
-1.95644e+00,nan
